"","initial_value"
"A1BG",0.62
"A2M",0.71
"NAT1",0.71
"NAT2",0.46
"SERPINA3",0.77
"AADAC",0.61
"AAMP",0.65
"AANAT",0.41
"AARS",0.79
"ABAT",0.75
"ABCA1",0.7
"ABCA2",0.58
"ABCA3",0.5
"ABCB7",0.64
"ABCF1",0.86
"ABCA4",0.57
"ABL1",0.63
"AOC1",0.51
"ABL2",0.85
"ABO",0.37
"ABR",0.67
"ACAA1",0.75
"ACACA",0.65
"ACACB",0.79
"ACADL",0.67
"ACADM",0.74
"ACADS",0.44
"ACADSB",0.83
"ACADVL",0.73
"ACAT1",0.81
"ACAT2",0.84
"ASIC2",0.34
"ASIC1",0.62
"ACHE",0.39
"ACLY",0.78
"ACO1",0.63
"ACR",0.43
"ACO2",0.58
"ACOX1",0.85
"ACP1",0.8
"ACP2",0.6
"ACP5",0.67
"ACPP",0.64
"ACRV1",0.64
"ACTA1",0.45
"ACTA2",0.82
"ACTB",0.77
"ACTBP9",0.28
"ACTC1",0.53
"ACTG1",0.82
"ACTG2",0.74
"ACTG1P1",0.11
"ACTG1P3",0.22
"ACTN4",0.76
"ACTL6A",0.82
"ACTN1",0.72
"ACTN2",0.63
"ACTN3",0.28
"ACVR1",0.84
"ACVR1B",0.67
"ACVR2A",0.74
"ACVR2B",0.75
"ACVRL1",0.47
"ACY1",0.79
"ACYP1",0.7
"ACYP2",0.77
"ADA",0.77
"ADAM8",0.54
"ADAM10",0.67
"ADAR",0.6
"ADARB1",0.76
"ADARB2",0.54
"ADCY1",0.74
"ADCY2",0.59
"ADCY3",0.73
"ADCY5",0.48
"ADCY6",0.68
"ADCY7",0.63
"ADCY8",0.28
"ADCY9",0.85
"ADCYAP1",0.48
"ADCYAP1R1",0.64
"ADD1",0.78
"ADD2",0.61
"ADD3",0.8
"PLIN2",0.65
"ADH1A",0.5
"ADH1B",0.77
"ADH1C",0.48
"ADH4",0.52
"ADH5",0.68
"ADH6",0.52
"ADH7",0.39
"ADK",0.8
"ADM",0.82
"ADORA1",0.6
"ADORA2A",0.45
"ADORA2B",0.67
